id,user_id,trail_id,difficulty,nature,beauty,stars,timestamp
1,34,5,3,1,,4,2021-08-10T05:30:44Z
2,71,3,3,4,4,2,2021-09-27T14:44:42Z
3,28,1,2,1,,5,2022-04-28T00:40:08Z
4,20,3,1,2,2,2,2021-12-15T21:18:18Z
5,2,4,1,2,4,3,2021-10-28T03:20:52Z
6,75,1,2,4,5,2,2021-07-28T20:14:02Z
7,2,4,5,1,3,2,2021-07-02T12:49:09Z
8,73,3,3,2,,3,2021-12-11T07:13:28Z
9,91,1,3,3,4,1,2021-05-17T16:38:43Z
10,22,1,2,1,3,3,2022-02-08T14:07:01Z
11,39,5,2,3,4,2,2021-05-31T12:18:53Z
12,53,5,5,2,4,3,2021-12-15T02:24:46Z
13,52,4,5,2,2,4,2022-02-17T04:17:24Z
14,88,3,1,1,5,1,2022-03-14T09:50:59Z
15,98,2,5,1,2,1,2021-09-18T10:14:11Z
16,26,4,,2,1,1,2022-03-03T07:49:23Z
17,71,2,5,,5,5,2021-08-01T02:24:21Z
18,59,4,5,,3,4,2022-04-26T16:04:26Z
19,21,5,4,3,1,2,2022-03-06T01:36:33Z
20,70,1,1,3,,1,2022-04-09T13:06:02Z
21,60,5,5,4,3,3,2022-01-13T01:50:49Z
22,90,4,5,3,1,1,2022-02-12T18:14:45Z
23,1,3,3,3,1,5,2021-06-17T11:01:28Z
24,80,1,4,2,5,2,2021-11-09T15:16:15Z
25,28,4,1,1,1,5,2022-03-18T14:11:45Z
26,88,3,3,4,4,5,2022-01-28T18:37:29Z
27,13,4,4,1,2,1,2021-07-03T05:02:56Z
28,93,5,4,1,,5,2021-08-24T22:05:34Z
29,89,3,4,2,4,1,2022-03-25T12:08:24Z
30,35,3,5,2,2,4,2021-09-29T20:20:08Z
31,3,2,2,3,3,5,2021-07-23T12:11:38Z
32,33,2,5,,2,1,2021-10-07T18:27:17Z
33,71,5,5,,2,4,2021-08-15T18:43:00Z
34,82,2,3,1,,5,2021-08-23T04:05:32Z
35,33,2,5,4,1,4,2022-03-01T06:38:57Z
36,97,3,3,1,2,1,2021-09-28T13:59:49Z
37,34,4,5,2,4,5,2022-03-28T02:23:10Z
38,37,5,1,1,5,2,2022-01-20T02:37:22Z
39,90,4,2,1,5,4,2021-10-24T14:02:16Z
40,16,3,2,2,2,5,2021-12-12T23:11:39Z
41,61,3,3,3,,1,2022-03-03T18:02:57Z
42,35,2,1,1,4,5,2021-08-21T18:49:35Z
43,16,3,1,4,5,3,2021-09-06T08:37:01Z
44,24,3,1,5,,2,2022-01-07T21:44:53Z
45,44,3,4,4,1,4,2022-05-05T23:12:22Z
46,70,5,4,,,5,2021-12-10T14:14:51Z
47,34,4,2,2,4,2,2021-05-27T06:32:31Z
48,24,2,2,4,,3,2021-07-18T23:15:57Z
49,45,4,5,5,5,3,2021-08-21T02:40:34Z
50,33,1,1,4,3,3,2022-03-30T09:48:36Z
51,98,3,4,1,2,3,2021-10-19T17:03:03Z
52,65,3,4,5,1,2,2021-12-27T21:34:03Z
53,95,2,5,2,,5,2022-03-06T03:37:43Z
54,45,1,1,,2,1,2022-01-21T01:27:35Z
55,59,3,1,2,,1,2021-10-28T23:14:39Z
56,24,3,1,5,,1,2022-01-14T14:20:27Z
57,84,3,5,4,1,3,2021-09-12T00:07:02Z
58,87,2,1,5,1,1,2022-01-05T02:22:10Z
59,21,1,1,1,2,3,2022-03-05T08:20:36Z
60,38,3,5,4,2,3,2022-04-14T13:04:34Z
61,28,5,5,5,1,1,2021-09-27T12:50:23Z
62,22,3,5,,4,4,2022-02-18T17:22:18Z
63,72,3,5,4,1,4,2022-04-07T00:10:45Z
64,35,4,1,,,3,2021-07-12T17:18:03Z
65,19,1,,3,2,1,2022-01-12T18:20:07Z
66,1,2,3,5,3,5,2021-08-24T08:34:12Z
67,86,4,4,5,1,3,2022-03-31T09:46:17Z
68,10,1,2,4,3,1,2022-03-18T22:40:37Z
69,35,5,3,2,5,5,2022-01-22T09:42:48Z
70,34,5,2,4,2,5,2021-10-27T01:19:52Z
71,56,2,5,,2,2,2022-04-26T20:47:16Z
72,70,2,,1,1,3,2021-07-02T18:51:08Z
73,10,3,3,1,1,3,2021-07-09T10:28:53Z
74,25,5,5,,5,2,2021-11-16T19:03:36Z
75,74,4,3,,2,5,2021-08-28T11:18:11Z
76,32,1,5,5,1,2,2022-01-20T20:53:10Z
77,15,2,5,3,3,2,2021-10-08T00:28:31Z
78,77,2,5,5,1,1,2022-05-04T19:39:08Z
79,44,1,2,,,1,2021-05-07T06:15:48Z
80,59,1,5,1,,3,2022-04-28T22:09:19Z
81,2,1,4,4,,1,2021-06-17T21:43:44Z
82,95,3,3,1,,4,2021-11-22T05:42:57Z
83,40,4,4,2,1,2,2021-10-14T05:48:27Z
84,33,2,,,1,3,2021-07-11T02:54:21Z
85,7,3,5,1,3,4,2021-08-31T07:01:06Z
86,43,3,1,5,,3,2022-04-13T09:52:03Z
